filename	label	category	font	augment_type
000000.png	F	halfwidth_alnum	UDEVGothic	original
000001.png	v	halfwidth_alnum	BIZ-UDMincho	original
000002.png	P	halfwidth_alnum	BIZ-UDGothic	original
000003.png	m	halfwidth_alnum	HiraginoKakuGothic W3	original
000004.png	P	halfwidth_alnum	HiraginoMincho ProN	original
000005.png	F	halfwidth_alnum	UDEVGothic	rotate_2.0
000006.png	P	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000009.png	v	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000008.png	m	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000007.png	P	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000010.png	F	halfwidth_alnum	UDEVGothic	blur_1.0
000011.png	v	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000012.png	P	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000013.png	P	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000014.png	F	halfwidth_alnum	UDEVGothic	noise_0.02
000015.png	F	halfwidth_alnum	UDEVGothic	contrast_1.1
000016.png	v	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000017.png	P	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000018.png	m	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000019.png	L	halfwidth_alnum	UDEVGothic	original
000022.png	P	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000020.png	v	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000021.png	P	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000023.png	L	halfwidth_alnum	UDEVGothic	rotate_2.0
000024.png	P	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000025.png	u	halfwidth_alnum	BIZ-UDGothic	original
000026.png	w	halfwidth_alnum	BIZ-UDMincho	original
000027.png	m	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000028.png	u	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000029.png	w	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000030.png	m	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000031.png	I	halfwidth_alnum	HiraginoMincho ProN	original
000032.png	l	halfwidth_alnum	HiraginoKakuGothic W3	original
000033.png	I	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000034.png	l	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000035.png	L	halfwidth_alnum	UDEVGothic	blur_1.0
000036.png	L	halfwidth_alnum	UDEVGothic	noise_0.02
000038.png	w	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000037.png	u	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000039.png	I	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000040.png	L	halfwidth_alnum	UDEVGothic	contrast_1.1
000041.png	J	halfwidth_alnum	UDEVGothic	original
000042.png	I	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000043.png	J	halfwidth_alnum	UDEVGothic	rotate_2.0
000044.png	w	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000045.png	u	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000046.png	l	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000047.png	I	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000048.png	u	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000049.png	w	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000050.png	v	halfwidth_alnum	HiraginoMincho ProN	original
000051.png	l	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000052.png	1	halfwidth_alnum	BIZ-UDGothic	original
000053.png	O	halfwidth_alnum	BIZ-UDMincho	original
000054.png	l	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000055.png	O	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000056.png	v	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000058.png	I	halfwidth_alnum	HiraginoKakuGothic W3	original
000057.png	1	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000059.png	J	halfwidth_alnum	UDEVGothic	blur_1.0
000060.png	I	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000061.png	J	halfwidth_alnum	UDEVGothic	noise_0.02
000062.png	J	halfwidth_alnum	UDEVGothic	contrast_1.1
000063.png	O	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000064.png	1	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000065.png	O	halfwidth_alnum	UDEVGothic	original
000066.png	v	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000067.png	O	halfwidth_alnum	UDEVGothic	rotate_2.0
000068.png	I	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000069.png	O	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000070.png	1	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000071.png	O	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000072.png	1	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000073.png	I	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000074.png	v	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000075.png	I	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000076.png	c	halfwidth_alnum	BIZ-UDMincho	original
000077.png	z	halfwidth_alnum	BIZ-UDGothic	original
000078.png	v	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000079.png	L	halfwidth_alnum	HiraginoKakuGothic W3	original
000080.png	c	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000083.png	z	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000081.png	o	halfwidth_alnum	HiraginoMincho ProN	original
000084.png	O	halfwidth_alnum	UDEVGothic	blur_1.0
000082.png	L	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000085.png	o	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000086.png	O	halfwidth_alnum	UDEVGothic	noise_0.02
000087.png	O	halfwidth_alnum	UDEVGothic	contrast_1.1
000088.png	X	halfwidth_alnum	UDEVGothic	original
000089.png	X	halfwidth_alnum	UDEVGothic	rotate_2.0
000090.png	c	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000091.png	z	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000092.png	o	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000093.png	L	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000094.png	c	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000095.png	z	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000096.png	c	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000097.png	z	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000098.png	o	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000099.png	L	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000100.png	o	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000101.png	x	halfwidth_alnum	BIZ-UDMincho	original
000102.png	v	halfwidth_alnum	BIZ-UDGothic	original
000103.png	L	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000104.png	X	halfwidth_alnum	UDEVGothic	blur_1.0
000105.png	l	halfwidth_alnum	HiraginoMincho ProN	original
000106.png	v	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000108.png	v	halfwidth_alnum	HiraginoKakuGothic W3	original
000107.png	x	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000109.png	l	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000110.png	X	halfwidth_alnum	UDEVGothic	noise_0.02
000111.png	v	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000112.png	X	halfwidth_alnum	UDEVGothic	contrast_1.1
000113.png	c	halfwidth_alnum	UDEVGothic	original
000114.png	c	halfwidth_alnum	UDEVGothic	rotate_2.0
000115.png	x	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000116.png	v	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000117.png	l	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000118.png	x	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000120.png	l	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000119.png	v	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000121.png	v	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000122.png	l	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000123.png	v	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000124.png	x	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000126.png	x	halfwidth_alnum	HiraginoMincho ProN	original
000125.png	c	halfwidth_alnum	UDEVGothic	blur_1.0
000127.png	X	halfwidth_alnum	BIZ-UDGothic	original
000128.png	W	halfwidth_alnum	BIZ-UDMincho	original
000129.png	v	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000130.png	v	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000132.png	W	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000131.png	X	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000133.png	x	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000134.png	c	halfwidth_alnum	UDEVGothic	noise_0.02
000135.png	c	halfwidth_alnum	UDEVGothic	contrast_1.1
000136.png	J	halfwidth_alnum	HiraginoKakuGothic W3	original
000137.png	J	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000138.png	V	halfwidth_alnum	UDEVGothic	original
000139.png	V	halfwidth_alnum	UDEVGothic	rotate_2.0
000140.png	X	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000141.png	x	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000142.png	W	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000143.png	X	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000145.png	X	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000144.png	J	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000146.png	x	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000147.png	w	halfwidth_alnum	BIZ-UDGothic	original
000148.png	W	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000149.png	x	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000150.png	V	halfwidth_alnum	UDEVGothic	blur_1.0
000151.png	J	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000152.png	W	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000154.png	J	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000153.png	w	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000155.png	z	halfwidth_alnum	HiraginoMincho ProN	original
000156.png	V	halfwidth_alnum	UDEVGothic	noise_0.02
000157.png	z	halfwidth_alnum	BIZ-UDMincho	original
000158.png	p	halfwidth_alnum	HiraginoKakuGothic W3	original
000159.png	V	halfwidth_alnum	UDEVGothic	contrast_1.1
000160.png	p	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000161.png	z	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000162.png	U	halfwidth_alnum	UDEVGothic	original
000163.png	z	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000164.png	U	halfwidth_alnum	UDEVGothic	rotate_2.0
000165.png	w	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000166.png	z	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000167.png	z	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000170.png	U	halfwidth_alnum	UDEVGothic	blur_1.0
000168.png	w	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000169.png	p	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000172.png	w	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000171.png	z	halfwidth_alnum	HiraginoMincho ProN	noise_0.02
000173.png	z	halfwidth_alnum	BIZ-UDMincho	noise_0.02
000174.png	z	halfwidth_alnum	HiraginoMincho ProN	contrast_1.1
000176.png	z	halfwidth_alnum	BIZ-UDMincho	contrast_1.1
000175.png	U	halfwidth_alnum	UDEVGothic	noise_0.02
000177.png	Y	halfwidth_alnum	BIZ-UDGothic	original
000178.png	p	halfwidth_alnum	HiraginoKakuGothic W3	noise_0.02
000179.png	U	halfwidth_alnum	UDEVGothic	contrast_1.1
000181.png	l	halfwidth_alnum	BIZ-UDMincho	original
000182.png	p	halfwidth_alnum	HiraginoKakuGothic W3	contrast_1.1
000180.png	O	halfwidth_alnum	HiraginoMincho ProN	original
000183.png	u	halfwidth_alnum	UDEVGothic	original
000184.png	x	halfwidth_alnum	HiraginoKakuGothic W3	original
000185.png	u	halfwidth_alnum	UDEVGothic	rotate_2.0
000187.png	Y	halfwidth_alnum	BIZ-UDGothic	rotate_2.0
000186.png	O	halfwidth_alnum	HiraginoMincho ProN	rotate_2.0
000188.png	l	halfwidth_alnum	BIZ-UDMincho	rotate_2.0
000189.png	x	halfwidth_alnum	HiraginoKakuGothic W3	rotate_2.0
000190.png	u	halfwidth_alnum	UDEVGothic	blur_1.0
000191.png	Y	halfwidth_alnum	BIZ-UDGothic	blur_1.0
000192.png	O	halfwidth_alnum	HiraginoMincho ProN	blur_1.0
000193.png	l	halfwidth_alnum	BIZ-UDMincho	blur_1.0
000194.png	u	halfwidth_alnum	UDEVGothic	noise_0.02
000195.png	x	halfwidth_alnum	HiraginoKakuGothic W3	blur_1.0
000197.png	u	halfwidth_alnum	UDEVGothic	contrast_1.1
000196.png	Y	halfwidth_alnum	BIZ-UDGothic	noise_0.02
000198.png	Y	halfwidth_alnum	BIZ-UDGothic	contrast_1.1
000200.png	m	halfwidth_alnum	UDEVGothic	original
000199.png	l	halfwidth_alnum	BIZ-UDMincho	noise_0.02
